label	cluster_name	representative	count
61	cluster_61	acrx	1
62	cluster_62	AcrVIA6	1
63	cluster_63	AcrIF16	1
64	cluster_64	stp	1
65	cluster_65	AcrVIB1	1
66	cluster_66	A0A1M7BB17	6
67	cluster_67	AcrIF8	1
68	cluster_68	AcrIC5	1
69	cluster_69	A0A357IP45	22
70	cluster_70	AcrIE5	1
71	cluster_71	nip	1
72	cluster_72	AcrIC6	12
73	cluster_73	aca11	1
74	cluster_74	A0A192THX4	113
75	cluster_75	AcrIIC4	1
76	cluster_76	AcrVIA2	2
77	cluster_77	A0A2A5MBJ2	11
78	cluster_78	abc1	2
79	cluster_79	AcrIB7	1
80	cluster_80	AcrVIA4	1
81	cluster_81	Dap2	1
82	cluster_82	AcrIC3	1
83	cluster_83	vcrx091	1
84	cluster_84	A0AAC8T7M7	2
85	cluster_85	AcrIIIB2	1
86	cluster_86	gam	1
87	cluster_87	lar	1
88	cluster_88	A0A6W4RI05	17
89	cluster_89	A0A0K1UGF5	13
90	cluster_90	AcrIC10	1
91	cluster_91	A0A1H9L8I5	3
92	cluster_92	AcrIF20	1
93	cluster_93	samase	1
94	cluster_94	orf126	1
95	cluster_95	A0A1G7MHU2	11
96	cluster_96	AcrIIC3	3
97	cluster_97	AcrIIA4	5
98	cluster_98	gnarl1	1
99	cluster_99	AcrIIC7	1
100	cluster_100	atd1	1
101	cluster_101	A0A6I6EK88	40
102	cluster_102	AcrIB2	1
103	cluster_103	A7KZW8	30
104	cluster_104	AcrIE4-IF7	1
105	cluster_105	AcrIIA34	1
106	cluster_106	AcrIF6	1
107	cluster_107	AcrIF11	5
108	cluster_108	tifa	1
109	cluster_109	AcrIF23	1
110	cluster_110	gp4_5	1
111	cluster_111	AcrIF19	1
112	cluster_112	ocr	1
113	cluster_113	AcrIE7	1
114	cluster_114	A0A7X0ZEC6	5
115	cluster_115	adfa	1
116	cluster_116	X8K7U9	3
117	cluster_117	AcrVA3	1
118	cluster_118	adnd_p0020	1
119	cluster_119	AcrIIA24	2
120	cluster_120	AcrIF25	1
121	cluster_121	gnarl3	1
122	cluster_122	AcrIF10	1
123	cluster_123	A0A7D5FZZ2	27
124	cluster_124	AcrIF14	1
125	cluster_125	AcrIIA12	1
126	cluster_126	A0A0B1BAN6	5
127	cluster_127	A0A1S1LTB0	31
128	cluster_128	AcrIC7	3
129	cluster_129	AcrIF7	1
130	cluster_130	A0A942VZ71	6
131	cluster_131	A0A372KNT2	98
132	cluster_132	A0A5H1ZR47	2
133	cluster_133	orf148	3
134	cluster_134	AcrIF12	5
135	cluster_135	AcrIIA30	1
136	cluster_136	AcrIF18	1
137	cluster_137	AcrIIA32	1
138	cluster_138	darb	1
139	cluster_139	ardk	4
140	cluster_140	A0A2T5PGF0	2
141	cluster_141	hdf	1
142	cluster_142	aca13	1
143	cluster_143	A0A1G0CSV7	5
144	cluster_144	vcrx092	1
145	cluster_145	AcrIIA21	13
146	cluster_146	aca5	1
147	cluster_147	AcrIE3	1
148	cluster_148	AcrVIA2_new	1
149	cluster_149	AcrIIA33_Seq	1
150	cluster_150	AcrIF5	3
151	cluster_151	A0A7J2VWF6	3
152	cluster_152	alt	1
153	cluster_153	AcrIIA5	1
154	cluster_154	AcrVIA1_Lwa	1
155	cluster_155	AcrIF22	2
156	cluster_156	vcrx090	3
157	cluster_157	AcrIIA9	1
158	cluster_158	AcrVIA5	1
159	cluster_159	A0AAJ6LNT7	2
160	cluster_160	AcrIF13	1
161	cluster_161	AcrIIA14	1
162	cluster_162	F5LCS0	8
163	cluster_163	Dap1	1
164	cluster_164	A0A1F0BGK7	6
165	cluster_165	ardr	5
166	cluster_166	AcrIIC5	1
167	cluster_167	AcrIIC8	1
168	cluster_168	AcrIIA23	2
169	cluster_169	AcrIC4	1
170	cluster_170	ddra	1
171	cluster_171	AcrIIA10	1
172	cluster_172	AcrIE1	1
173	cluster_173	AcrIIA29	1
174	cluster_174	AcrIC8	1
175	cluster_175	A0A150M5G9	54
176	cluster_176	AcrVA5	3
177	cluster_177	A0A0E0UW46	9
178	cluster_178	ddrb	1
179	cluster_179	AcrIE6	1
180	cluster_180	AcrIIA20	1
181	cluster_181	A0AAE3QNU5	493
182	cluster_182	A0A077PJ20	62
183	cluster_183	A0A7C4H004	100
184	cluster_184	ardk_2	2
185	cluster_185	W6SKQ6	4
186	cluster_186	AcrVA4	1
187	cluster_187	A0A1X6WLV6	53
188	cluster_188	A0A9X6QP05	3
189	cluster_189	RelB	1
190	cluster_190	Adfb	1
191	cluster_191	5277	1
192	cluster_192	E6WMN4	80
193	cluster_193	5061	1
194	cluster_194	5004	1
195	cluster_195	AcrIIIB2_2	1
196	cluster_196	A0A7V3UQG5	49
197	cluster_197	A0A378VAR2	85
198	cluster_198	SSB	1
199	cluster_199	bet	1
200	cluster_200	AcrIIC4_2	1
201	cluster_201	JSS1_004	1
202	cluster_202	A0A2C6MEB7	15
203	cluster_203	5021	1
204	cluster_204	AcrVA3_2	1
205	cluster_205	AcrIE2	1
206	cluster_206	AcrIF2	2
207	cluster_207	AcrIIA16	1
208	cluster_208	A0L3E1	18
209	cluster_209	H_NS	1
210	cluster_210	gp4	1
211	cluster_211	gp5_5	1
