label	cluster_name	representative	Gene3D	Pfam	FunFam	PANTHER	SMART
48	cluster_48	AcrIIA15					
49	cluster_49	AcrIF4					
50	cluster_50	AcrIIA19					
51	cluster_51	AcrIIIB1					
52	cluster_52	AcrIIC6					
53	cluster_53	AcrIC1					
54	cluster_54	AcrIF1		Anti-CRISPR protein Acr30-35/AcrF1			
55	cluster_55	dara		Defence against restriction A N-terminal; Defence against restriction A, N-terminal; Defence against restriction A C-terminal; Defence against restriction A, C-terminal			
56	cluster_56	AcrIF9					
57	cluster_57	AcrIF21					
58	cluster_58	abc2		Bacteriophage P22, anti-RecBCD protein 2; Anti-RecBCD protein 2, bacteriophage P22; Acb2/Tad1, hairpin domain			
59	cluster_59	AcrIIA26					
60	cluster_60	AcrIB9					
61	cluster_61	AcrIIA3					
62	cluster_62	acrx					
63	cluster_63	AcrVIA6					
64	cluster_64	AcrIF16					
65	cluster_65	stp		Anticodon nuclease activator family; Anticodon nuclease activator Stp			
66	cluster_66	AcrVIB1					
67	cluster_67	AcrIF24					
68	cluster_68	AcrIF8		Anti-CRISPR protein AcrF8			
69	cluster_69	AcrIC5		Anti-CRISPR protein AcrIC5; AcrIC5-like domain			
70	cluster_70	AcrIIA11					
71	cluster_71	AcrIE5					
72	cluster_72	nip					
73	cluster_73	AcrIC6					
74	cluster_74	aca11					
75	cluster_75	vcrx089	P-loop containing nucleoside triphosphate hydrolase	CbbQ/NirQ/NorQ C-terminal; CbbQ/NirQ/NorQ, C-terminal; AAA domain (dynein-related subfamily); ATPase, dynein-related, AAA domain; Biotin-requiring enzyme; Biotin/lipoyl attachment	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex	MOXR FAMILY PROTEIN; CbbQ/NirQ/NorQ/GpvN	
76	cluster_76	AcrIIC4					
77	cluster_77	AcrVIA2					
78	cluster_78	psia		PsiA protein; Uncharacterised protein family PsiA			
79	cluster_79	abc1	Winged helix-like DNA-binding domain superfamily				
80	cluster_80	AcrIB7					
81	cluster_81	AcrVIA4					
82	cluster_82	Dap2					
83	cluster_83	AcrIC3					
84	cluster_84	vcrx091	Nucleic acid-binding, OB-fold	Single-strand binding protein family; Primosome PriB/single-strand DNA-binding		SINGLE-STRANDED DNA-BINDING PROTEIN; Single-stranded DNA-binding protein	
85	cluster_85	AcrVA2		Anti-CRISPR type V subtype A2 family; Anti-CRISPR type V subtype A2-like			
86	cluster_86	AcrIIIB2					
87	cluster_87	gam	Host-nuclease inhibitor Gam superfamily	Host-nuclease inhibitor protein Gam; Host-nuclease inhibitor Gam	Host-nuclease inhibitor protein gam		
88	cluster_88	lar		Restriction alleviation protein Lar			
89	cluster_89	AcrIB8					
90	cluster_90	vcrx093	PD-(D/E)XK endonuclease-like domain superfamily	YqaJ-like viral recombinase domain; YqaJ viral recombinase		EXONUCLEASE, PHAGE-TYPE/RECB, C-TERMINAL DOMAIN-CONTAINING PROTEIN; NF-kappa-B Signaling Regulator	
91	cluster_91	AcrIC10					
92	cluster_92	AcrIIA18					
93	cluster_93	AcrIF20					
94	cluster_94	samase		S-Adenosylmethionine lyase family; S-Adenosylmethionine lyase-like			
95	cluster_95	orf126					
96	cluster_96	AcrIF15					
97	cluster_97	AcrIIC3					
98	cluster_98	AcrIIA4		Anti-CRISPR Suppressor AcrIIA4; Anti-CRISPR Suppressor AcrIIA4-like			
99	cluster_99	gnarl1					
100	cluster_100	AcrIIC7	Lambda repressor-like, DNA-binding domain superfamily	Helix-turn-helix; Cro/C1-type, helix-turn-helix domain			mbf_short4; Cro/C1-type, helix-turn-helix domain
101	cluster_101	atd1					
102	cluster_102	ulx					
103	cluster_103	AcrIB2					
104	cluster_104	ardc		Zincin-like metallopeptidase; Polyvalent protein, metallopeptidase domain; N-terminal domain of anti-restriction factor ArdC; ArdC, N-terminal ssDNA binding domain			
105	cluster_105	AcrIE4-IF7		Anti-CRISPR protein F31			
106	cluster_106	AcrIIA34					
107	cluster_107	AcrIF6					
108	cluster_108	AcrIF11		Anti-CRISPR Type I-F ADP-ribosyltransferase AcrIF11; Anti-CRISPR Type I-F ADP-ribosyltransferase AcrIF11-like			
109	cluster_109	tifa		Family of unknown function (DUF7279); Protein of unknown function DUF7279			
110	cluster_110	AcrIF23					
111	cluster_111	gp4_5		Inhibitor of toxin/antitoxin system (Gp4.5); Inhibitor of toxin/antitoxin system			
112	cluster_112	AcrIF19					
113	cluster_113	ocr	DNA mimic ocr; B-form DNA mimic Ocr	DNA mimic ocr; Protein Ocr			
114	cluster_114	AcrIE7					
115	cluster_115	AcrIB6					
116	cluster_116	adfa		Anti-DarT factor A; Anti-DarT factor A-like			
117	cluster_117	AcrIIA31					
118	cluster_118	AcrVA3					
119	cluster_119	adnd_p0020					
120	cluster_120	AcrIIA24					
121	cluster_121	AcrIF25					
122	cluster_122	gnarl3					
123	cluster_123	AcrIF10					
124	cluster_124	psib	Plasmid SOS inhibition protein; Protein PsiB-like superfamily	Plasmid SOS inhibition protein (PsiB); Protein PsiB			
125	cluster_125	AcrIF14					
126	cluster_126	AcrIIA12					
127	cluster_127	racc					
128	cluster_128	ntase		RNA repair pathway DNA polymerase beta family; RNA repair pathway DNA polymerase beta		NUCLEOTIDYLTRANSFERASE; RNA repair pathway DNA polymerase beta	
129	cluster_129	AcrIC7					
130	cluster_130	AcrIF7					
131	cluster_131	AcrIIA17					
132	cluster_132	AcrIB1				ACETYLTRANSFERASE-RELATED	
133	cluster_133	AcrVA1					
134	cluster_134	orf148					
135	cluster_135	AcrIF12					
136	cluster_136	AcrIIA30					
137	cluster_137	AcrIF18					
138	cluster_138	AcrIIA32					
139	cluster_139	darb	SNF2-like, N-terminal domain superfamily; P-loop containing nucleoside triphosphate hydrolase; Vaccinia Virus protein VP39; S-adenosyl-L-methionine-dependent methyltransferase superfamily	Eco57I restriction-modification methylase; Type II methyltransferase M.TaqI-like domain; Helicase conserved C-terminal domain; Helicase, C-terminal domain-like	Defense against restriction protein B	ADENINE-SPECIFIC METHYLTRANSFERASE; DNA Protection and Modification	helicmild6; Helicase, C-terminal domain-like; ultradead3; Helicase superfamily 1/2, ATP-binding domain
140	cluster_140	aca4	Fimbrial Adhesin Regulatory Protein	TrfB plasmid transcriptional repressor; TrfB transcriptional repressor protein			
141	cluster_141	AcrIE9					
142	cluster_142	hdf		Defence against restriction A N-terminal; Defence against restriction A, N-terminal			
143	cluster_143	aca13					
144	cluster_144	AcrIIC1					
145	cluster_145	vcrx092		RecT family			
146	cluster_146	AcrIIA21		Replication initiator protein A (RepA) N-terminus; Replication initiator A, N-terminal			
147	cluster_147	aca5	Lambda repressor-like, DNA-binding domain superfamily				
148	cluster_148	AcrIE3		Anti-CRISPR type I subtype E3-like			
149	cluster_149	AcrVIA2_new	P-loop containing nucleoside triphosphate hydrolase	DEAD/DEAH box helicase; DEAD/DEAH-box helicase domain; CRISPR-associated nuclease/helicase Cas3, C-terminal; CRISPR-associated nuclease/helicase Cas3 domain			ultradead3; Helicase superfamily 1/2, ATP-binding domain
150	cluster_150	AcrIIA33_Seq					
151	cluster_151	AcrIF5					
152	cluster_152	AcrIA					
153	cluster_153	alt		Tevenvirinae NAD(+)--arginine ADP-ribosyltransferase family; NAD(+)--arginine ADP-ribosyltransferase, N-terminal; ADP-ribosyltransferase exoenzyme; ADP ribosyltransferase			
154	cluster_154	AcrIIA5					
155	cluster_155	AcrVIA1_Lwa					
156	cluster_156	AcrIF22					
157	cluster_157	vcrx090					
158	cluster_158	AcrIIA9		PcfK-like protein			
159	cluster_159	AcrVIA5					
160	cluster_160	rexb		Membrane-anchored ion channel, Abi component; Abi component, membrane-anchored ion channel RexB			
161	cluster_161	AcrIF13					
162	cluster_162	AcrIIA14					
163	cluster_163	gad2		Gabija anti-defense 2 family protein			
164	cluster_164	Dap1					
165	cluster_165	AcrIIA33					
166	cluster_166	ardr					
167	cluster_167	AcrIIC5					
168	cluster_168	AcrIIC8					
169	cluster_169	AcrIIA23					
170	cluster_170	AcrIC4					
171	cluster_171	ddra					
172	cluster_172	AcrIIA10					
173	cluster_173	AcrIE1					
174	cluster_174	AcrIIA29					
175	cluster_175	AcrIC8					
176	cluster_176	AcrIB3		CRISPR-associated protein (Cas_Cas5); CRISPR-associated protein, Cas5			
177	cluster_177	AcrVA5					
178	cluster_178	AcrIIA1	Lambda repressor-like, DNA-binding domain superfamily	Cro/C1-type HTH DNA-binding domain; Cro/C1-type, helix-turn-helix domain			
179	cluster_179	ddrb		ddrB-like ParB superfamily domain; DdrB-like domain			
180	cluster_180	AcrIE6					
181	cluster_181	AcrIIA20					
182	cluster_182	Adfm_1	Leucine Aminopeptidase, subunit E, domain 1; Macro domain-like; Acetylglutamate kinase-like superfamily; Glutaredoxin	Macro domain; Betacoronavirus replicase NSP3, N-terminal; Non-structural protein NSP3, N-terminal, betacoronavirus; Thioredoxin; Thioredoxin domain	O-acetyl-ADP-ribose deacetylase 1; ganglioside-induced differentiation-associated protein 2 isoform X1; ORF1a polyprotein; Polyprotein P1234; ADP-ribose 1''-phosphate phosphatase; O-acetyl-ADP-ribose deacetylase MACROD2; Poly [ADP-ribose] polymerase; Orf1a polyprotein; Thioredoxin	PROTEIN C6ORF130; ADP-ribose derivative metabolism enzymes; GANGLIOSIDE INDUCED DIFFERENTIATION ASSOCIATED PROTEIN 2-RELATED; PARP/ZINC FINGER CCCH TYPE DOMAIN CONTAINING PROTEIN; Mono-ADP-ribosyltransferase ARTD/PARP	YBR022w_8; Macro domain
183	cluster_183	Adfm_3	Leucine Aminopeptidase, subunit E, domain 1; Macro domain-like	Macro domain		PROTEIN C6ORF130; ADP-ribose derivative metabolism enzymes	
184	cluster_184	AcrIE10		CT1975-like protein; CRISPR-associated protein, CT1975			
185	cluster_185	RT		Reverse transcriptase (RNA-dependent DNA polymerase); Reverse transcriptase domain		NUCLEAR INTRON MATURASE 1, MITOCHONDRIAL-RELATED; Group II Intron Splicing and Mobility/Defense	
186	cluster_186	AcrIA1	PD-(D/E)XK endonuclease-like domain superfamily	Domain of unknown function DUF83; Dna2/Cas4, domain of unknown function DUF83; PD-(D/E)XK nuclease superfamily; PD-(D/E)XK endonuclease-like domain, AddAB-type		CRISPR-ASSOCIATED EXONUCLEASE CAS4; CRISPR-associated exonuclease Cas4	
187	cluster_187	ardk_2	Fimbrial Adhesin Regulatory Protein; Anti-restriction Endonuclease Superfamily	TrfB plasmid transcriptional repressor; TrfB transcriptional repressor protein; DNA Mimic Protein Arn; Anti-restriction endonuclease			
188	cluster_188	AcrIIA25					
189	cluster_189	AcrVA4					
190	cluster_190	AcrIIA6		Anti-CRISPR type II subtype A6-like			
191	cluster_191	Acb4		Phage protein (N4 Gp49/phage Sf6 gene 66) family			
192	cluster_192	RelB	Arc-type ribbon-helix-helix	RelB antitoxin; RelB antitoxin/Antitoxin DinJ		ANTITOXIN DINJ-RELATED; RelB antitoxin/Antitoxin DinJ	
193	cluster_193	Adfb					
194	cluster_194	5277					
195	cluster_195	AbiEi					
196	cluster_196	5061					
197	cluster_197	5004					
198	cluster_198	AcrIIIB2_2					
199	cluster_199	Adfn_t4	YbiA-like superfamily	Bacteriophage protein GP30.3; Bacteriophage T4, Y12G			
200	cluster_200	Gp48	Metallo-dependent phosphatase-like	Calcineurin-like phosphoesterase; Calcineurin-like, phosphoesterase domain			
201	cluster_201	SSB					
202	cluster_202	bet		RecT family			
203	cluster_203	AcrIIC4_2					
204	cluster_204	JSS1_004		Bacteriophage T7 protein kinase 0.7			
205	cluster_205	BxaP					
206	cluster_206	5021					
207	cluster_207	AcrVA3_2					
208	cluster_208	AcrIE2					
209	cluster_209	AcrIF2		Anti-CRISPR protein AcrF2 protein; Anti-CRISPR protein AcrF2			
210	cluster_210	AcrIIA16					
