cluster_name	representative	Gene3D	Pfam	FunFam	PANTHER	SMART	Hamap	NCBIfam	PRINTS	ProSiteProfiles	SUPERFAMILY	CDD	Coils	MobiDBLite	PIRSF	ProSitePatterns
Cluster_10	AcrIII_1	G3DSA:3.40.50.11170: Uncharacterised protein PF08960, DUF1874 [IPR037236: STIV B116-like superfamily]	PF08960: STIV B116-like [IPR015055: STIV B116-like]	-	-	-	-	-	-	-	SSF143602: STIV B116-like [IPR037236: STIV B116-like superfamily]	-	Coil: Coil	-	-	-
Cluster_11	AcrIIC2	-	-	-	-	-	-	-	-	-	-	cd22214: AcrIIC2	-	-	-	-
Cluster_12	ardu	G3DSA:1.10.10.1190: Antirestriction protein ArdA, domain 3 [IPR041893: Antirestriction protein ArdA, domain 3];G3DSA:3.10.20.480: Antirestriction protein ArdA, domain 1 [IPR041895: Antirestriction protein ArdA, domain 1];G3DSA:1.10.8.560: Antirestriction protein ArdA, domain 2 [IPR041896: Antirestriction protein ArdA, domain 2]	PF07275: Antirestriction protein (ArdA) [IPR009899: Antirestriction]	G3DSA:1.10.10.1190:FF:000001: Antirestriction protein ArdA;G3DSA:1.10.8.560:FF:000001: Antirestriction protein ArdA;G3DSA:3.10.20.480:FF:000001: Antirestriction protein ArdA	-	-	-	-	-	-	-	-	Coil: Coil	mobidb-lite: consensus disorder prediction	-	-
Cluster_13	ugi	G3DSA:3.10.450.20 [IPR024062: Bacteriophage PBS2, uracil-glycosylase inhibitor]	PF18880: Uracil-DNA glycosylase inhibitor [IPR043805: Uracil-DNA glycosylase inhibitor]	-	-	-	-	-	-	-	SSF54441: Uracil-DNA glycosylase inhibitor protein [IPR024062: Bacteriophage PBS2, uracil-glycosylase inhibitor]	-	-	-	-	-
Cluster_14	acb1	-	PF23474: Anti-CBASS protein Acb1 [IPR056175: Anti-CBASS protein Acb1-like, C-terminal domain]	-	-	-	-	-	-	-	SSF55144: LigT-like [IPR009097: Cyclic phosphodiesterase]	-	-	mobidb-lite: consensus disorder prediction	-	-
Cluster_15	AcrIIA2	-	-	-	-	-	-	NF033945: AcrIIA2 family anti-CRISPR protein	-	-	-	cd22261: AcrIIA2;cd22819: AcrIIA2b	Coil: Coil	-	-	-
Cluster_16	dmd	-	PF17587: Discriminator of mRNA degradation [IPR035137: Discriminator of mRNA degradation]	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_17	tad1	G3DSA:2.10.70.30	PF24729: Acb2/Tad1, hairpin domain [IPR056098: Acb2/Tad1, hairpin domain]	-	-	-	-	-	-	-	-	-	Coil: Coil	mobidb-lite: consensus disorder prediction	-	-
Cluster_18	AcrIF3	-	PF21401: Cas3 inhibitor AcrF3 [IPR049085: Cas3 inhibitor AcrF3-like]	-	-	-	-	-	-	-	-	cd22238: AcrIF3	-	-	-	-
Cluster_19	AcrIIA13b	-	-	-	-	-	-	-	-	-	-	-	Coil: Coil	-	-	-
Cluster_20	AcrVIA3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_21	AcrIIA8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_22	rad	G3DSA:3.40.1360.10	PF13155: Toprim-like	-	-	-	-	-	-	-	SSF56731: DNA primase core	cd01029: TOPRIM_primases [IPR034154: Archaeal primase DnaG/twinkle-like, TOPRIM domain]	-	-	-	-
Cluster_23	AcrIA3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_24	had1	-	PF26126: Hachiman anti-defense protein [IPR059053: Hachiman anti-defense 1]	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_25	gp5_9	-	PF25708: Phage T7 gp5.9 RecBCD inhibitor [IPR058007: Gp5.9]	-	-	-	-	-	-	-	-	-	Coil: Coil	-	-	-
Cluster_26	ral	-	PF11058: Antirestriction protein Ral [IPR022759: Antirestriction protein Ral]	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_27	AcrIB4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_28	gad1	-	PF25705: Gabija anti-defense 1 [IPR057845: Gabija anti-defense 1]	-	-	-	-	-	-	-	-	-	Coil: Coil	-	-	-
Cluster_29	gnarl2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_30	AcrIB5	G3DSA:1.10.260.40 [IPR010982: Lambda repressor-like, DNA-binding domain superfamily]	-	-	-	-	-	-	-	PS50943: Cro/C1-type HTH domain profile. [IPR001387: Cro/C1-type, helix-turn-helix domain]	SSF47413: lambda repressor-like DNA-binding domains [IPR010982: Lambda repressor-like, DNA-binding domain superfamily]	-	-	-	-	-
Cluster_31	orba	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_32	aca12	-	-	-	-	-	-	-	-	-	SSF47413: lambda repressor-like DNA-binding domains [IPR010982: Lambda repressor-like, DNA-binding domain superfamily]	cd00093: HTH_XRE [IPR001387: Cro/C1-type, helix-turn-helix domain]	-	-	-	-
Cluster_33	AcrIIA22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_34	AcrIIA28	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_35	mom	-	PF25680: Mom protein family [IPR057895: Mom]	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_36	AcrIE8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_37	dsad1	-	PF26840: DSR anti-defense 1 family [IPR059540: DSR anti-defense 1]	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_38	AcrIF17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_39	aca8	G3DSA:1.10.10.60	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_40	ipii	-	PF26874: Phage T4 internal protein II [IPR059740: Internal protein II]	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_41	AcrIIA27	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_42	AcrIE4	-	PF25703: Anti-CRISPR protein F31 [IPR057729: Anti-CRISPR protein F31]	-	-	-	-	-	-	-	-	cd22552: AcrIE4	-	-	-	-
Cluster_43	ipi	G3DSA:2.20.25.370 [IPR038569: Bacteriophage T4, IpI C-terminal domain superfamily];G3DSA:3.30.160.860	PF11634: Nuclease inhibitor from bacteriophage T4 [IPR024373: Bacteriophage T4, IpI]	G3DSA:2.20.25.370:FF:000001: IPI internal head protein;G3DSA:3.30.160.860:FF:000001: IpI internal head protein	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_44	AcrVIA7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_45	AcrIC9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_46	adnd_p0021	-	-	-	-	-	-	-	-	-	-	-	-	mobidb-lite: consensus disorder prediction	-	-
Cluster_47	AcrIIA15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_48	AcrIF4	-	-	-	-	-	-	-	-	-	-	cd22557: AcrIF4	-	-	-	-
Cluster_49	AcrIIA19	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_50	AcrIIIB1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_51	AcrIIC6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_52	AcrIC1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_53	AcrIF1	G3DSA:3.30.67.30	PF20829: Anti-CRISPR protein Acr30-35/AcrF1 [IPR049088: Anti-CRISPR protein Acr30-35/AcrF1]	-	-	-	-	-	-	-	-	cd22279: AcrIF1 [IPR049088: Anti-CRISPR protein Acr30-35/AcrF1]	-	-	-	-
Cluster_54	dara	G3DSA:1.10.287.1490	PF18788: Defence against restriction A N-terminal [IPR041140: Defence against restriction A, N-terminal];PF18789: Defence against restriction A C-terminal [IPR041501: Defence against restriction A, C-terminal]	-	-	-	-	NF052326: antirestriction phage head protein DarA [IPR064501: Defense against restriction protein A]	-	-	-	-	Coil: Coil	mobidb-lite: consensus disorder prediction	-	-
Cluster_55	AcrIF9	-	-	-	-	-	-	-	-	-	-	cd22260: AcrIF9	-	-	-	-
Cluster_56	AcrIF21	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_57	abc2	-	PF11043: Bacteriophage P22, anti-RecBCD protein 2 [IPR020500: Anti-RecBCD protein 2, bacteriophage P22];PF24729: Acb2/Tad1, hairpin domain [IPR056098: Acb2/Tad1, hairpin domain]	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_58	AcrIIA26	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_59	AcrIB9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_60	AcrIIA3	-	-	-	-	-	-	NF033948: anti-CRISPR protein AcrIIA3 [IPR061052: AcrIIA3]	-	-	-	-	-	-	-	-
Cluster_61	acrx	G3DSA:3.40.630.30	-	-	-	-	-	-	-	PS51186: Gcn5-related N-acetyltransferase (GNAT) domain profile. [IPR000182: GNAT domain]	SSF55729: Acyl-CoA N-acyltransferases (Nat) [IPR016181: Acyl-CoA N-acyltransferase]	-	-	-	-	-
Cluster_62	AcrVIA6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_63	AcrIF16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_64	stp	-	PF08133: Anticodon nuclease activator family [IPR012585: Anticodon nuclease activator Stp]	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_65	AcrVIB1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_66	AcrIF24	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_67	AcrIF8	-	PF25699: Anti-CRISPR protein AcrF8 [IPR057730: Anti-CRISPR protein AcrF8]	-	-	-	-	-	-	-	-	cd22241: AcrIF8	-	-	-	-
Cluster_68	AcrIC5	-	PF22147: Anti-CRISPR protein AcrIC5 [IPR054398: AcrIC5-like domain]	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_69	AcrIIA11	-	-	-	-	-	-	-	-	-	-	cd22818: AcrIIA11	Coil: Coil	mobidb-lite: consensus disorder prediction	-	-
Cluster_70	AcrIE5	-	-	-	-	-	-	-	-	-	-	cd22556: AcrIE5	-	-	-	-
Cluster_71	nip	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_72	AcrIC6	-	-	-	-	-	-	-	-	-	-	-	-	mobidb-lite: consensus disorder prediction	-	-
Cluster_73	aca11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_74	vcrx089	G3DSA:3.40.50.300 [IPR027417: P-loop containing nucleoside triphosphate hydrolase];G3DSA:2.40.50.100	PF07728: AAA domain (dynein-related subfamily) [IPR011704: ATPase, dynein-related, AAA domain];PF08406: CbbQ/NirQ/NorQ C-terminal [IPR013615: CbbQ/NirQ/NorQ, C-terminal];PF12556: Cobaltochelatase CobS subunit N terminal [IPR025865: Cobaltochelatase subunit CobS N-terminal domain];PF00364: Biotin-requiring enzyme [IPR000089: Biotin/lipoyl attachment]	G3DSA:3.40.50.300:FF:001731: Nitric oxide reductase NorQ protein;G3DSA:2.40.50.100:FF:000055: Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex	PTHR42759: MOXR FAMILY PROTEIN [IPR050764: CbbQ/NirQ/NorQ/GpvN];PTHR48103: MIDASIN-RELATED	SM00382: AAA_5 [IPR003593: AAA+ ATPase domain]	-	TIGR01650: cobaltochelatase subunit CobS [IPR006537: Cobaltochelatase subunit CobS]	PR00300: ATP-dependent Clp protease ATP-binding subunit signature [IPR001270: ClpA/B family]	PS50968: Biotinyl/lipoyl domain profile. [IPR000089: Biotin/lipoyl attachment]	SSF52540: P-loop containing nucleoside triphosphate hydrolases [IPR027417: P-loop containing nucleoside triphosphate hydrolase];SSF51230: Single hybrid motif [IPR011053: Single hybrid motif]	cd00009: AAA;cd06849: lipoyl_domain	Coil: Coil	mobidb-lite: consensus disorder prediction	-	PS00189: 2-oxo acid dehydrogenases acyltransferase component lipoyl binding site. [IPR003016: 2-oxo acid dehydrogenase, lipoyl-binding site]
Cluster_75	AcrIIC4	-	-	-	-	-	-	-	-	-	-	cd22802: AcrIIC4	Coil: Coil	-	-	-
Cluster_76	AcrVIA2	-	-	-	-	-	-	-	-	-	-	-	Coil: Coil	-	-	-
