label	cluster_name	representative	count
169	cluster_169	A0A0H2UV12	2
170	cluster_170	AcrIC4	1
171	cluster_171	ddra	1
172	cluster_172	AcrIIA10	1
173	cluster_173	AcrIE1	1
174	cluster_174	AcrIIA29	1
175	cluster_175	AcrIC8	1
176	cluster_176	A0A090Z3E4	54
177	cluster_177	A0AAC8T7L7	3
178	cluster_178	AcrIIA1	9
179	cluster_179	ddrb	1
180	cluster_180	AcrIE6	1
181	cluster_181	AcrIIA20	1
182	cluster_182	A6WGD1	492
183	cluster_183	Adfm_3	1
184	cluster_184	A0A0A3ASL4	196
185	cluster_185	A0A8I0BM05	62
186	cluster_186	A0A7C5TWZ8	100
187	cluster_187	A0A9Q9T0U7	5
188	cluster_188	A0A6A8UB22	4
189	cluster_189	AcrVA4	1
190	cluster_190	A0A4D7CWX2	53
191	cluster_191	A0A9X6QP05	3
192	cluster_192	RelB	1
193	cluster_193	Adfb	1
194	cluster_194	5277	1
195	cluster_195	E6WMN4	80
196	cluster_196	5061	1
197	cluster_197	5004	1
198	cluster_198	AcrIIIB2_2	1
199	cluster_199	A0A2N5IBP4	49
200	cluster_200	E5XRX0	85
201	cluster_201	SSB	1
202	cluster_202	bet	1
203	cluster_203	AcrIIC4_2	1
204	cluster_204	JSS1_004	1
205	cluster_205	A0A2C6MEB7	15
206	cluster_206	5021	1
207	cluster_207	AcrVA3_2	1
208	cluster_208	AcrIE2	1
209	cluster_209	AcrIF2_IC2	2
210	cluster_210	AcrIIA16	1
